miRNA,Gene
hsa-miR-190a-3p,CRK
hsa-miR-1915-3p,CRK
hsa-miR-192-5p,CRK
hsa-miR-195-5p,CRK
hsa-miR-206,CRK
hsa-miR-20a-5p,CRK
hsa-miR-20b-5p,CRK
hsa-miR-215-5p,CRK
hsa-miR-216b-3p,CRK
hsa-miR-298,CRK
hsa-miR-302a-3p,CRK
hsa-miR-302b-3p,CRK
hsa-miR-302c-3p,CRK
hsa-miR-302d-3p,CRK
hsa-miR-302e,CRK
hsa-miR-30a-3p,CRK
hsa-miR-30e-3p,CRK
hsa-miR-3140-3p,CRK
hsa-miR-320a,CRK
hsa-miR-320b,CRK
hsa-miR-320c,CRK
hsa-miR-320d,CRK
hsa-miR-329-3p,CRK
hsa-miR-362-3p,CRK
hsa-miR-370-3p,CRK
hsa-miR-372-3p,CRK
hsa-miR-373-3p,CRK
hsa-miR-410-3p,CRK
hsa-miR-423-3p,CRK
hsa-miR-424-5p,CRK
hsa-miR-4284,CRK
hsa-miR-4524a-5p,CRK
hsa-miR-497-5p,CRK
hsa-miR-501-3p,CRK
hsa-miR-502-3p,CRK
hsa-miR-503-5p,CRK
hsa-miR-509-3-5p,CRK
hsa-miR-510-5p,CRK
hsa-miR-512-5p,CRK
hsa-miR-5196-5p,CRK
hsa-miR-519d-3p,CRK
hsa-miR-520a-3p,CRK
hsa-miR-520b,CRK
hsa-miR-520c-3p,CRK
hsa-miR-520d-3p,CRK
hsa-miR-520e,CRK
hsa-miR-548ah-5p,CRK
hsa-miR-548l,CRK
hsa-miR-548n,CRK
hsa-miR-603,CRK
hsa-miR-613,CRK
hsa-miR-619-3p,CRK
hsa-miR-640,CRK
hsa-miR-664b-5p,CRK
hsa-miR-93-5p,CRK
hsa-let-7a-5p,IGF1R
hsa-let-7b-5p,IGF1R
hsa-let-7c-5p,IGF1R
hsa-let-7d-5p,IGF1R
hsa-let-7e-5p,IGF1R
hsa-let-7f-5p,IGF1R
hsa-let-7g-5p,IGF1R
hsa-let-7i-5p,IGF1R
hsa-miR-100-5p,IGF1R
hsa-miR-122-5p,IGF1R
hsa-miR-1226-3p,IGF1R
hsa-miR-1253,IGF1R
hsa-miR-1271-5p,IGF1R
hsa-miR-1275,IGF1R
hsa-miR-133a-3p,IGF1R
hsa-miR-133b,IGF1R
hsa-miR-138-5p,IGF1R
hsa-miR-139-5p,IGF1R
hsa-miR-140-5p,IGF1R
hsa-miR-143-3p,IGF1R
hsa-miR-145-5p,IGF1R
hsa-miR-152-3p,IGF1R
hsa-miR-16-5p,IGF1R
hsa-miR-181b-5p,IGF1R
hsa-miR-182-5p,IGF1R
hsa-miR-1827,IGF1R
hsa-miR-183-5p,IGF1R
hsa-miR-185-5p,IGF1R
hsa-miR-190a-3p,IGF1R
hsa-miR-1910-3p,IGF1R
hsa-miR-192-5p,IGF1R
hsa-miR-194-5p,IGF1R
hsa-miR-196a-5p,IGF1R
hsa-miR-202-3p,IGF1R
hsa-miR-206,IGF1R
hsa-miR-215-5p,IGF1R
hsa-miR-21-5p,IGF1R
hsa-miR-218-5p,IGF1R
hsa-miR-223-3p,IGF1R
hsa-miR-224-5p,IGF1R
hsa-miR-2682-5p,IGF1R
hsa-miR-26b-5p,IGF1R
hsa-miR-302a-3p,IGF1R
hsa-miR-302b-3p,IGF1R
hsa-miR-302c-3p,IGF1R
hsa-miR-302d-3p,IGF1R
hsa-miR-302e,IGF1R
hsa-miR-30a-5p,IGF1R
hsa-miR-3180-5p,IGF1R
hsa-miR-320a,IGF1R
hsa-miR-329-3p,IGF1R
hsa-miR-335-5p,IGF1R
hsa-miR-340-5p,IGF1R
hsa-miR-342-3p,IGF1R
hsa-miR-34a-5p,IGF1R
hsa-miR-3613-3p,IGF1R
hsa-miR-362-3p,IGF1R
hsa-miR-363-5p,IGF1R
hsa-miR-372-3p,IGF1R
hsa-miR-373-3p,IGF1R
hsa-miR-375,IGF1R
hsa-miR-376a-3p,IGF1R
hsa-miR-377-3p,IGF1R
hsa-miR-383-5p,IGF1R
hsa-miR-3916,IGF1R
hsa-miR-4458,IGF1R
hsa-miR-449c-5p,IGF1R
hsa-miR-450a-2-3p,IGF1R
hsa-miR-4792,IGF1R
hsa-miR-484,IGF1R
hsa-miR-492,IGF1R
hsa-miR-494-3p,IGF1R
hsa-miR-497-5p,IGF1R
hsa-miR-5001-3p,IGF1R
hsa-miR-5010-5p,IGF1R
hsa-miR-502-5p,IGF1R
hsa-miR-503-5p,IGF1R
hsa-miR-518c-5p,IGF1R
hsa-miR-520a-3p,IGF1R
hsa-miR-520a-5p,IGF1R
hsa-miR-520b,IGF1R
hsa-miR-520c-3p,IGF1R
hsa-miR-520d-3p,IGF1R
hsa-miR-520e,IGF1R
hsa-miR-522-3p,IGF1R
hsa-miR-525-5p,IGF1R
hsa-miR-539-5p,IGF1R
hsa-miR-544a,IGF1R
hsa-miR-548ah-5p,IGF1R
hsa-miR-548d-3p,IGF1R
hsa-miR-548h-3p,IGF1R
hsa-miR-548n,IGF1R
hsa-miR-548q,IGF1R
hsa-miR-548z,IGF1R
hsa-miR-570-3p,IGF1R
hsa-miR-577,IGF1R
hsa-miR-592,IGF1R
hsa-miR-597-5p,IGF1R
hsa-miR-603,IGF1R
hsa-miR-625-5p,IGF1R
hsa-miR-630,IGF1R
hsa-miR-6511a-5p,IGF1R
hsa-miR-7-5p,IGF1R
hsa-miR-885-3p,IGF1R
hsa-miR-885-5p,IGF1R
hsa-miR-92a-3p,IGF1R
hsa-miR-940,IGF1R
hsa-miR-96-5p,IGF1R
hsa-miR-98-5p,IGF1R
hsa-miR-99a-5p,IGF1R
hsa-let-7a-5p,MYC
hsa-let-7b-5p,MYC
hsa-let-7c-5p,MYC
hsa-let-7d-5p,MYC
hsa-let-7e-5p,MYC
hsa-let-7f-5p,MYC
hsa-let-7g-5p,MYC
hsa-let-7i-5p,MYC
hsa-miR-106b-5p,MYC
hsa-miR-1248,MYC
